# Sparvio 1.5.0 log file. Unknown start time.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Relative time (sec); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
20.524; ; ; ; ; 0.07; 276; 0.01; 0.0; -0.07; 20.6; 64.8; 100373; 4.1; -1.3; 0
20.723; ; ; ; ; 0.07; 207; 0.01; 0.01; -0.07; 20.6; 64.8; 100373; 4.2; -1.3; 0
20.923; ; ; ; ; 0.08; 189; 0.0; 0.02; -0.08; 20.59; 64.9; 100373; 4.0; -1.3; 0
21.123; ; ; ; ; 0.09; 289; 0.02; -0.01; -0.08; 20.59; 64.9; 100373; 4.1; -1.3; 0
21.323; 100195; 8.194; 22.08; 59.84; 0.08; 256; 0.04; 0.01; -0.07; 20.62; 64.8; 100373; 4.1; -1.3; 0
21.526; ; ; ; ; 0.08; 305; 0.01; -0.01; -0.08; 20.59; 64.9; 100373; 4.1; -1.3; 0
21.723; ; ; ; ; 0.07; 348; 0.0; -0.02; -0.07; 20.6; 64.9; 100372; 4.1; -1.4; 0
21.923; ; ; ; ; 0.09; 298; 0.04; -0.02; -0.08; 20.6; 64.8; 100374; 4.1; -1.3; 0
22.123; ; ; ; ; 0.08; 253; 0.02; 0.01; -0.07; 20.73; 64.4; 100374; 4.1; -1.3; 0
22.323; 100198; 8.202; 22.04; 59.8; 0.08; 306; 0.02; -0.01; -0.07; 20.84; 64.1; 100372; 4.1; -1.4; 0
22.524; ; ; ; ; 0.07; 314; 0.03; -0.03; -0.06; 20.9; 63.7; 100373; 4.1; -1.3; 0
22.722; ; ; ; ; 0.09; 243; 0.02; 0.01; -0.08; 20.85; 64.0; 100374; 4.1; -1.3; 0
22.923; ; ; ; ; 0.08; 253; 0.02; 0.0; -0.08; 20.77; 64.2; 100374; 4.1; -1.3; 0
23.122; ; ; ; ; 0.08; 327; 0.0; 0.0; -0.08; 20.66; 64.6; 100373; 4.1; -1.3; 0
23.322; 100198; 8.183; 22.06; 59.77; 0.08; 350; 0.0; 0.0; -0.08; 20.65; 64.7; 100372; 4.1; -1.4; 0
23.525; ; ; ; ; 0.12; 243; 0.03; 0.02; -0.11; 20.95; 63.5; 100373; 4.1; -1.3; 0
23.722; ; ; ; ; 0.07; 294; 0.01; -0.01; -0.07; 21.18; 62.7; 100373; 4.1; -1.3; 0
23.922; ; ; ; ; 0.12; 344; 0.02; -0.07; -0.1; 21.35; 62.0; 100374; 4.1; -1.4; 0
24.122; ; ; ; ; 0.09; 310; 0.05; -0.04; -0.07; 21.29; 62.2; 100374; 4.1; -1.3; 0
24.322; 100199; 8.198; 22.04; 59.86; 0.13; 296; 0.1; -0.05; -0.08; 21.24; 62.4; 100372; 4.1; -1.4; 0
24.523; ; ; ; ; 0.11; 293; 0.09; -0.04; -0.05; 21.06; 63.1; 100373; 4.1; -1.4; 0
24.722; ; ; ; ; 0.12; 291; 0.09; -0.04; -0.06; 20.93; 63.6; 100373; 4.1; -1.3; 0
24.922; ; ; ; ; 0.11; 318; 0.06; -0.07; -0.07; 20.92; 63.6; 100374; 4.1; -1.3; 0
25.122; ; ; ; ; 0.15; 302; 0.12; -0.07; -0.07; 20.9; 63.8; 100373; 4.1; -1.3; 0
25.322; 100199; 8.218; 22.06; 59.81; 0.14; 299; 0.1; -0.06; -0.08; 20.89; 63.7; 100373; 4.1; -1.3; 0
25.525; ; ; ; ; 0.13; 300; 0.1; -0.06; -0.08; 20.87; 63.8; 100373; 4.1; -1.3; 0
25.722; ; ; ; ; 0.11; 311; 0.06; -0.05; -0.07; 20.81; 64.2; 100375; 4.1; -1.3; 0
25.922; ; ; ; ; 0.12; 318; 0.06; -0.07; -0.08; 20.79; 64.2; 100375; 4.1; -1.4; 0
26.122; ; ; ; ; 0.14; 302; 0.09; -0.05; -0.09; 20.84; 64.0; 100374; 4.1; -1.3; 0
26.322; 100199; 8.234; 22.06; 59.85; 0.17; 322; 0.08; -0.1; -0.11; 20.97; 63.5; 100375; 4.1; -1.3; 0
26.523; ; ; ; ; 0.15; 339; 0.04; -0.12; -0.09; 20.93; 63.6; 100374; 4.1; -1.4; 0
26.722; ; ; ; ; 0.15; 319; 0.08; -0.09; -0.1; 20.87; 63.8; 100374; 4.1; -1.4; 0
26.922; ; ; ; ; 0.15; 298; 0.11; -0.06; -0.08; 20.87; 63.8; 100375; 4.1; -1.3; 0
27.122; ; ; ; ; 0.12; 296; 0.08; -0.04; -0.07; 20.85; 63.9; 100373; 4.0; -1.3; 0
27.322; 100201; 8.174; 22.09; 59.94; 0.13; 309; 0.06; -0.05; -0.1; 20.86; 64.0; 100374; 4.2; -1.3; 0
27.525; ; ; ; ; 0.12; 352; 0.01; -0.06; -0.11; 20.83; 64.1; 100374; 4.1; -1.3; 0
27.722; ; ; ; ; 0.15; 359; 0.0; -0.06; -0.13; 20.94; 63.6; 100373; 3.8; -1.3; 0
27.922; ; ; ; ; 0.13; 6; -0.01; -0.08; -0.1; 21.11; 63.0; 100373; 4.3; -1.3; 0
